B,F1mF-1,F1mF0,F1mF1,F2mF-2,F2mF-1,F2mF0,F2mF1,F2mF2
0,-4271.68,-4271.68,-4271.68,2563.01,2563.01,2563.01,2563.01,2563.01
200,-4140.19,-4283.16,-4420.43,2283.17,2432.07,2574.49,2711.20,2842.84
400,-4028.10,-4317.38,-4584.38,2003.34,2320.54,2608.71,2874.59,3122.67
600,-3937.53,-4373.68,-4761.62,1723.51,2230.53,2665.01,3051.28,3402.51
800,-3870.40,-4451.02,-4950.43,1443.67,2163.96,2742.35,3239.53,3682.34
1000,-3828.30,-4548.07,-5149.29,1163.84,2122.41,2839.40,3437.83,3962.17
1200,-3812.29,-4663.34,-5356.86,884.01,2106.96,2954.67,3644.84,4242.01
1400,-3822.77,-4795.22,-5571.99,604.17,2118.00,3086.55,3859.42,4521.84
1600,-3859.48,-4942.10,-5793.70,324.34,2155.27,3233.43,4080.58,4801.67
1800,-3921.46,-5102.43,-6021.15,44.51,2217.80,3393.76,4307.46,5081.51
2000,-4007.21,-5274.75,-6253.60,-235.33,2304.11,3566.08,4539.36,5361.34
2200,-4114.86,-5457.71,-6490.44,-515.16,2412.32,3749.04,4775.64,5641.17
2400,-4242.31,-5650.10,-6731.14,-794.99,2540.33,3941.43,5015.79,5921.01
2600,-4387.43,-5850.81,-6975.25,-1074.83,2686.00,4142.14,5259.34,6200.84
2800,-4548.12,-6058.90,-7222.37,-1354.66,2847.25,4350.23,5505.90,6480.67
3000,-4722.44,-6273.51,-7472.16,-1634.49,3022.13,4564.84,5755.13,6760.51
3200,-4908.65,-6493.90,-7724.33,-1914.33,3208.89,4785.22,6006.75,7040.34
3400,-5105.16,-6719.41,-7978.64,-2194.16,3405.96,5010.74,6260.50,7320.17
3600,-5310.63,-6949.47,-8234.86,-2473.99,3611.99,5240.80,6516.16,7600.01
3800,-5523.87,-7183.60,-8492.79,-2753.83,3825.78,5474.93,6773.54,7879.84
4000,-5743.86,-7421.35,-8752.28,-3033.66,4046.33,5712.68,7032.47,8159.67
4200,-5969.73,-7662.35,-9013.17,-3313.49,4272.76,5953.68,7292.80,8439.51
4400,-6200.73,-7906.27,-9275.33,-3593.33,4504.32,6197.60,7554.40,8719.34
4600,-6436.24,-8152.80,-9538.64,-3873.16,4740.38,6444.13,7817.16,8999.17
4800,-6675.69,-8401.70,-9803.01,-4152.99,4980.39,6693.03,8080.97,9279.01
5000,-6918.63,-8652.73,-10068.35,-4432.83,5223.89,6944.06,8345.75,9558.84
5200,-7164.66,-8905.70,-10334.56,-4712.66,5470.47,7197.03,8611.41,9838.67
5400,-7413.41,-9160.44,-10601.59,-4992.49,5719.78,7451.77,8877.88,10118.51
5600,-7664.60,-9416.77,-10869.37,-5272.33,5971.53,7708.10,9145.10,10398.34
5800,-7917.97,-9674.58,-11137.83,-5552.16,6225.46,7965.90,9413.00,10678.17
6000,-8173.29,-9933.72,-11406.93,-5831.99,6481.33,8225.05,9681.54,10958.01
6200,-8430.36,-10194.08,-11676.61,-6111.83,6738.96,8485.41,9950.67,11237.84
6400,-8689.00,-10455.58,-11946.84,-6391.66,6998.16,8746.91,10220.34,11517.67
6600,-8949.08,-10718.11,-12217.57,-6671.49,7258.80,9009.44,10490.52,11797.51
6800,-9210.45,-10981.60,-12488.78,-6951.33,7520.73,9272.93,10761.17,12077.34
7000,-9473.00,-11245.98,-12760.43,-7231.16,7783.83,9537.31,11032.25,12357.17
7200,-9736.63,-11511.17,-13032.48,-7510.99,8048.01,9802.50,11303.75,12637.01
7400,-10001.23,-11777.13,-13304.92,-7790.83,8313.17,10068.46,11575.63,12916.84
7600,-10266.73,-12043.78,-13577.71,-8070.66,8579.23,10335.11,11847.87,13196.67
7800,-10533.05,-12311.10,-13850.84,-8350.49,8846.11,10602.43,12120.44,13476.51
8000,-10800.14,-12579.02,-14124.28,-8630.33,9113.75,10870.35,12393.33,13756.34
8200,-11067.92,-12847.52,-14398.02,-8910.16,9382.09,11138.85,12666.51,14036.17
8400,-11336.34,-13116.55,-14672.04,-9189.99,9651.07,11407.87,12939.97,14316.01
8600,-11605.36,-13386.07,-14946.32,-9469.83,9920.65,11677.40,13213.69,14595.84
8800,-11874.93,-13656.06,-15220.85,-9749.66,10190.78,11947.39,13487.66,14875.67
9000,-12145.02,-13926.49,-15495.60,-10029.49,10461.42,12217.82,13761.86,15155.51
9200,-12415.58,-14197.33,-15770.58,-10309.33,10732.54,12488.66,14036.28,15435.34
9400,-12686.59,-14468.56,-16045.77,-10589.16,11004.10,12759.89,14310.91,15715.17
9600,-12958.01,-14740.15,-16321.15,-10868.99,11276.08,13031.48,14585.74,15995.01
9800,-13229.82,-15012.09,-16596.73,-11148.83,11548.45,13303.42,14860.76,16274.84
10000,-13501.99,-15284.35,-16872.47,-11428.66,11821.18,13575.68,15135.95,16554.67
